id;position;length;from_lane;to_lane;xcoord;ycoord
193438;0,72;13,27;0;0;-32099,77087;6733941,272
193492;68,78;14,96;0;0;-32077,82598;6734973,76
193493;68,75;15,01;1;1;-32077,80609;6734973,732
193494;32,76;15,04;1;1;-32110,05523;6735009,663
193495;32,61;15;0;0;-32110,14977;6735009,788
193502;24,49;14,99;0;0;-31651,27563;6734279,84
193503;66,1;15;0;0;-31683,27047;6734270,383
194180;14,47;14,99;0;0;-32532,48541;6733816,781
194181;45,79;15,06;1;1;-32482,95556;6733781,25
194182;45,82;14,96;0;0;-32482,97667;6733781,271
194183;0,13;6,57;0;0;-32494,77351;6733817,921
194185;5,7;15,02;0;0;-32531,46731;6733826,664
194186;0,01;9,01;0;0;-32510,62491;6733777,586
194187;0;12,21;0;0;-32513,64203;6733777,962
194240;29,89;15;1;1;-34291,47042;6727218,598
194241;29,86;15,01;0;0;-34291,44269;6727218,603
194242;41,54;15,01;1;1;-34321,6054;6727235,9
194243;41,57;14,99;0;0;-34321,61463;6727235,874
194244;341,25;14,97;0;0;-34343,5058;6727205,64
194245;341,37;14,97;1;1;-34343,38787;6727205,648
194259;64,86;14,97;0;0;-33182,81609;6733612,71
194260;88,06;15,03;0;0;-33227,77482;6733598,475
194261;208,68;14,97;0;0;-33207,95995;6733580,318
194262;178,72;14,97;0;0;-33193,61623;6733624,821
194283;145,27;15,01;0;0;-33450,86381;6733614,28
194284;78,38;14,97;0;0;-33476,34278;6733655,211
194285;27,18;14,96;0;0;-33498,90407;6733651,654
194286;37,93;14,99;0;0;-33508,68877;6733644,209
194287;18,78;15;0;0;-33537,55704;6733689,096
194288;18,87;15;1;1;-33537,51205;6733689,015
194289;30,95;14,98;0;0;-33493,27855;6733643,327
194322;88,9;15,04;1;1;-33773,35292;6734077,182
194323;88,78;15,04;0;0;-33773,41184;6734077,287
194324;145,41;15,01;0;0;-33732,51746;6734043,33
194325;99,7;15,03;0;0;-33741,19005;6734034,68
194380;24,04;15;0;0;-33828,84025;6734183,031
194381;19,11;15,07;0;0;-33828,99005;6734177,781
194382;69,64;14,97;0;0;-33884,37209;6734199,557
194383;69,68;15;1;1;-33884,33771;6734199,558
194384;8,07;15;1;1;-33850,94897;6734223,668
194385;8,03;14,98;0;0;-33850,9609;6734223,711
194411;54,71;15;0;0;-34070,966;6734215,622
194415;2,23;15,04;0;0;-34099,25346;6734208,086
194456;9,26;15,04;0;0;-34112,24947;6734250,954
194457;9,18;14,99;0;0;-34112,29866;6734251,009
194499;5,62;14,98;0;0;-34114,12756;6734248,428
194574;0,15;11,44;0;0;-34294,11335;6734456,249
194575;36,76;14,98;0;0;-34322,7534;6734488,709
194576;135,06;14,96;0;0;-34332,43173;6734474,408
194577;140,28;15,01;0;0;-34310,06431;6734440,132
194766;11,05;15,04;0;1;-36969,68735;6731429,531
194767;5,33;15,05;0;1;-36934,96348;6731446,321
194768;8,75;15,09;0;0;-36930,25427;6731451,36
194769;65,66;14,97;1;2;-36943,83138;6731491,849
194770;65,71;14,97;0;0;-36943,85242;6731491,81
194771;38,34;15,01;0;0;-36962,7201;6731471,451
194791;47,43;15,02;0;0;-31350,50677;6731857,506
194792;10,55;14,99;0;0;-31399,67569;6731850,571
194793;10,52;14,96;1;1;-31399,70823;6731850,571
194794;184,82;14,97;0;0;-31373,82204;6731824,587
194937;21,16;14,99;0;0;-30225,15587;6732672,921
194939;122,84;15,01;0;1;-30237,83928;6732729,346
194940;37,75;15,02;0;0;-30203,19913;6732706,232
194964;22,6;14,96;0;0;-31678,73998;6728235,562
194965;67,54;15,02;0;0;-31655,97845;6728211,707
194966;201,8;14,98;0;0;-31678,95392;6728187,265
195071;5,25;15,02;0;0;-30404,54793;6731724,013
195072;5,45;15,02;0;0;-30403,71862;6731727,078
195073;2,09;15,02;0;0;-30406,66451;6731730,97
195074;1,93;15,04;0;0;-30406,67951;6731734,168
195075;121,27;14,99;0;0;-30363,19878;6731708,535
195076;121,21;14,96;1;1;-30363,18898;6731708,479
195077;121;15,04;2;2;-30363,15239;6731708,271
195078;0,03;10,24;0;0;-30351,00934;6731751,81
195079;0,2;10,65;0;0;-30352,46104;6731754,569
195080;0,21;11,22;0;0;-30353,32495;6731758,233
195081;402,48;15,01;2;2;-30384,91615;6731775,124
195082;402,67;14,97;1;1;-30384,88424;6731774,942
195083;402,72;15,01;0;0;-30384,8755;6731774,892
195110;56,44;15;0;0;-30182,7702;6730682,142
195111;61,41;14,96;1;1;-30182,24222;6730687,109
195112;86,44;14,98;0;0;-30211,75809;6730705,895
195113;86,35;15,09;1;1;-30211,84556;6730705,866
195114;117,3;14,95;1;1;-30180,18555;6730747,394
195115;117,18;15,05;0;0;-30180,16458;6730747,513
195188;13,48;14,98;0;0;-30271,58245;6731346,649
195189;13,13;14,98;0;0;-30269,56391;6731348,968
195190;73,65;14,99;0;0;-30314,91356;6731346,528
195197;0;11,55;0;0;-30301,57345;6731378,993
195231;255,39;15,04;0;0;-30770,77888;6732011,293
195251;23,69;14,98;1;1;-30824,31281;6731996,327
195252;23,63;15,05;0;0;-30824,37245;6731996,3
195253;0,11;6,61;0;0;-30786,24801;6731988,278
195254;0,11;7,95;0;0;-30789,21211;6731987,645
195255;37,98;15,01;0;0;-30809,12815;6732037,251
195404;2,38;14,98;0;0;-31767,4124;6727980,329
195405;2,61;15,02;0;0;-31769,35242;6727983,079
195406;12,18;15;1;1;-31759,74027;6728023,351
195407;12,26;14,97;0;0;-31759,72821;6728023,273
195408;15,94;15,02;1;1;-31717,39669;6727981,536
195409;15,91;14,99;0;0;-31717,37812;6727981,519
195410;21,14;14,94;0;0;-31724,01411;6727977,687
195411;21,14;15,04;1;1;-31724,01821;6727977,691
195412;1,87;14,96;0;0;-31670,16136;6727959,472
195413;229,4;15,02;0;1;-31691,99051;6727930,69
195414;38,7;15,01;0;0;-31535,65078;6732777,668
195416;14,38;12;0;0;-31580,5849;6732779,533
195444;102,2;15,01;0;0;-31321,20106;6732111,485
195758;8,19;1,8;0;0;-32080,55971;6735004,19
195759;0,04;15,02;0;0;-32074,90151;6735010,096
195760;0;15,01;0;0;-32119,60457;6734985,418
195862;67,8;15,01;0;0;-31800,91093;6736158,118
195863;0,01;10,09;0;0;-31776,18129;6736178,645
195864;0,09;15,17;0;0;-31773,04075;6736180,62
195865;162,17;14,99;1;1;-31791,44772;6736209,767
195866;162,17;14,99;0;0;-31791,44775;6736209,767
195915;8,74;15,03;0;0;-36965,66674;6731424,408
197428;49,64;3,94;0;0;-31902,73679;6734239,131
197430;33,44;14,96;0;1;-31905,57567;6734209,895
197432;32,94;82,92;0;0;-31805,68356;6734184,526
197490;42,2;80;0;0;-31516,30923;6733947,194
197491;0,07;52,88;0;0;-31642,76091;6734053,282
197492;0,48;14,98;0;0;-31568,38096;6734033,139
197493;97,55;14,96;0;0;-31606,67834;6733990,206
197494;97,62;15,04;1;1;-31606,62811;6733990,254
197540;136,1;15;0;0;-31648,48048;6733546,491
197541;60,64;90,26;0;0;-31653,32663;6733470,83
197542;32,65;5,28;0;0;-31634,21476;6733581,245
197723;24,87;15,01;0;0;-31597,26218;6733611,78
197724;6,02;33,13;0;0;-31639,64699;6733578,062
197725;27,74;80,02;0;0;-31575,25998;6733658,823
197726;16,07;14,97;0;0;-31571,35556;6733582,587
197727;36,85;14,99;0;0;-31596,3843;6733553,222
197734;0,07;10,54;1;1;-31705,11287;6733157,323
197735;0,13;10,43;0;0;-31705,06134;6733157,342
197736;18,51;14,97;0;0;-31678,47002;6733127,368
197737;18,33;15,05;1;1;-31678,50803;6733127,187
197738;242,07;15,04;0;0;-31664,6017;6733177,225
197741;180,78;79,97;0;0;-31619,85339;6733223,454
197742;124,59;79,95;0;0;-31678,12546;6733067,678
197765;67,82;15,01;0;0;-31486,44126;6733807,216
197766;0,05;11,15;0;0;-31502,43094;6733783,226
197767;31,44;14,96;0;0;-31468,93807;6733743,981
197768;0,21;8,64;0;0;-31462,76222;6733791,935
197769;0;10,47;0;0;-31460,64342;6733789,866
197770;73,04;60,22;0;0;-31435,43517;6733855,133
197771;5;78,71;0;0;-31549,60475;6733714,098
197821;124,29;15;0;0;-31650,13866;6733373,93
197822;2,28;15,02;0;0;-31684,4704;6733415,282
197823;2,41;14,98;1;1;-31684,4172;6733415,155
197824;182,7;80,05;0;0;-31636,78869;6733312,21
197825;75,9;80,07;0;0;-31655,87406;6733497,793
197846;89,55;15,05;0;0;-31644,45722;6732914,492
197847;92,33;79,99;0;0;-31600,16239;6732870,001
197848;128,32;80;0;0;-31672,34587;6733023,25
197969;57,34;80,08;0;0;-30911,20884;6731101,87
197970;5;50,82;0;0;-30941,08359;6730899,691
197971;26,06;5,01;0;0;-30943,69743;6730944,574
197972;39,68;15;0;0;-30928,81363;6730932,443
197973;27,05;15,02;0;0;-30916,41004;6730987,843
198000;52,54;14,95;0;0;-31009,33497;6730735,52
198001;3,6;42,56;0;0;-30999,70117;6730696,565
198002;29,21;15;0;0;-30988,92623;6730720,223
198003;53,91;80,01;0;0;-30962,27199;6730834,501
198035;114,83;79,95;0;0;-30990,52436;6731562,994
198036;112,82;79,99;0;0;-31043,29234;6731734,808
198037;59,47;14,98;0;0;-31009,56372;6731623,571
198038;59,32;15,04;1;1;-31009,52185;6731623,419
