did;pos;oid;oname
7276109;0;0;All
7276109;1;53;Car
7276109;2;56;Truck
7276109;3;58;Bus
7276109;4;192828;Tram
7276109;5;7275428;Bus m/boggi 15 meter
7276109;6;7275429;Bus leddbus 18 meter
7276108;0;0;All
7276108;1;53;Car
7276108;2;56;Truck
7276108;3;58;Bus
7276108;4;192828;Tram
7276108;5;7275428;Bus m/boggi 15 meter
7276108;6;7275429;Bus leddbus 18 meter
7276107;0;0;All
7276107;1;53;Car
7276107;2;56;Truck
7276107;3;58;Bus
7276107;4;192828;Tram
7276107;5;7275428;Bus m/boggi 15 meter
7276107;6;7275429;Bus leddbus 18 meter
7276110;0;0;All
7276110;1;53;Car
7276110;2;56;Truck
7276110;3;58;Bus
7276110;4;192828;Tram
7276110;5;7275428;Bus m/boggi 15 meter
7276110;6;7275429;Bus leddbus 18 meter
7276055;0;0;All
7276055;1;53;Car
7276055;2;56;Truck
7276055;3;58;Bus
7276055;4;192828;Tram
7276055;5;7275428;Bus m/boggi 15 meter
7276055;6;7275429;Bus leddbus 18 meter
7275673;0;0;All
7275673;1;53;Car
7275673;2;56;Truck
7275673;3;58;Bus
7275673;4;192828;Tram
7275673;5;7275428;Bus m/boggi 15 meter
7275673;6;7275429;Bus leddbus 18 meter
